Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M11 [NVBDCP],11.1.2.b,Malaria (RDT) - Plasmodium Vivax test positive,TOTAL,9,8,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,1,1,0
M11 [NVBDCP],11.1.2.c,Malaria (RDT) - Plamodium Falciparum test positive,TOTAL,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,1,1,0
M11 [NVBDCP],11.2.1,Kala Azar (RDT) - Tests Conducted,TOTAL,11,NA,11,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,11,NA,11,11,0
M11 [NVBDCP],11.2.2,Kala Azar Positive Cases,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M11 [NVBDCP],11.2.3,Post-kala-azar dermal leishmaniasis (PKDL) cases,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M11 [NVBDCP],11.3.1,Dengue - RDT Test Positive,TOTAL,204,88,116,113,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,88,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,42,42,NA,74,NA,74,71,3
M11 [NVBDCP],11.3.2,Dengue - Enzyme- Linked Immuno Sorbent Assay (ELISA) Test Positive,TOTAL,47,32,15,15,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,15,15,0
M11 [NVBDCP],11.4.1,Tests Conducted for JE,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M11 [NVBDCP],11.4.2,Tests Positive for JE,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M12 [Adolscent Health],12.1.1.a,Girls registered in AFHC,TOTAL,65,65,0,28,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,56,NA,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,NA,0,9,NA,NA,NA,NA,NA,0,NA,0,0,NA
M12 [Adolscent Health],12.1.1.b,Boys registered in AFHC,TOTAL,20,20,0,14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,6,NA,NA,NA,NA,NA,0,NA,0,0,NA
M12 [Adolscent Health],12.1.2.a,"Out of registered, Girls received clinical services",TOTAL,53,53,0,28,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,44,NA,28,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,NA,0,9,NA,NA,NA,NA,NA,0,NA,0,0,NA
M12 [Adolscent Health],12.1.2.b,"Out of registered, Boys received clinical services",TOTAL,20,20,0,14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,6,NA,NA,NA,NA,NA,0,NA,0,0,NA
M12 [Adolscent Health],12.1.3.a,"Out of registered, Girls received counselling",TOTAL,65,65,0,28,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,56,NA,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,NA,0,9,NA,NA,NA,NA,NA,0,NA,0,0,NA
M12 [Adolscent Health],12.1.3.b,"Out of registered, Boys received counselling",TOTAL,20,20,0,14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,6,NA,NA,NA,NA,NA,0,NA,0,0,NA
"M13 [Directly Observed Treatment, Short-course (DOTS)]",13.1,Number of on-going DOTS patients registered,TOTAL,372,361,11,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361,361,NA,361,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,11,11,NA
"M13 [Directly Observed Treatment, Short-course (DOTS)]",13.2,Number of DOTS cases completed successfully,TOTAL,128,128,0,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,128,NA,128,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M14 [Patient Services],14.1.1,Outpatient - Diabetes,TOTAL,5332,850,4482,2368,2964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699,699,NA,699,NA,NA,NA,NA,NA,NA,46,46,NA,46,NA,105,105,NA,105,0,217,NA,217,217,NA,4265,NA,4265,1301,2964
M14 [Patient Services],14.1.2,Outpatient - Hypertension,TOTAL,3499,831,2668,1331,2168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,598,598,NA,598,NA,NA,NA,NA,NA,NA,100,100,NA,100,NA,133,133,NA,133,0,116,NA,116,116,NA,2552,NA,2552,384,2168
M14 [Patient Services],14.1.3,Outpatient - Stroke (Paralysis),TOTAL,266,0,266,17,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,266,NA,266,17,249
M14 [Patient Services],14.1.4,Outpatient - Acute Heart Diseases,TOTAL,4329,2,4327,26,4303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,0,NA,0,0,NA,4327,NA,4327,24,4303
M14 [Patient Services],14.1.5,Outpatient - Mental illness,TOTAL,1833,0,1833,505,1328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,1833,NA,1833,505,1328
M14 [Patient Services],14.1.6,Outpatient - Epilepsy,TOTAL,378,0,378,6,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,378,NA,378,6,372
M14 [Patient Services],14.1.7,Outpatient - Ophthalmic Related,TOTAL,6029,1552,4477,4703,1326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176,1176,NA,1176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,376,NA,43,333,196,NA,196,196,NA,4281,NA,4281,3288,993
M14 [Patient Services],14.1.8,Outpatient - Dental,TOTAL,1470,141,1329,815,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,126,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,NA,15,NA,68,NA,68,68,NA,1261,NA,1261,606,655
M14 [Patient Services],14.1.9,Outpatient - Oncology,TOTAL,5662,NA,5662,1513,4149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5662,NA,5662,1513,4149
M14 [Patient Services],14.2.1,Allopathic- Outpatient attendance,TOTAL,515879,411177,104702,213812,302067,179364,179364,NA,NA,179364,37709,37709,NA,37709,NA,151833,151833,NA,102640,49193,15738,15738,NA,15738,NA,3319,3319,NA,3319,NA,23214,23214,NA,13313,9901,6431,NA,6431,6431,NA,98271,NA,98271,34662,63609
M14 [Patient Services],14.2.2,Ayush - Outpatient attendance,TOTAL,12555,12535,20,12555,0,NA,NA,NA,NA,NA,4096,4096,NA,4096,NA,8439,8439,NA,8439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,20,NA,20,20,NA
M14 [Patient Services],14.3.1.a,Inpatient (Male)- Children<18yrs,TOTAL,2828,2333,495,232,2596,2256,2256,NA,NA,2256,NA,NA,NA,NA,NA,77,77,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,6,NA,489,NA,489,226,263
M14 [Patient Services],14.3.1.b,Inpatient (Male)- Adults,TOTAL,8141,4745,3396,837,7304,4745,4745,NA,NA,4745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,72,72,NA,3324,NA,3324,765,2559
M14 [Patient Services],14.3.2.a,Inpatient (Female)- Children<18yrs,TOTAL,1541,1161,380,173,1368,1093,1093,NA,NA,1093,NA,NA,NA,NA,NA,68,68,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA,376,NA,376,169,207
M14 [Patient Services],14.3.2.b,Inpatient (Female)- Adults,TOTAL,7406,3989,3417,1371,6035,3989,3989,NA,NA,3989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,142,142,NA,3275,NA,3275,1229,2046
M14 [Patient Services],14.3.3,Number of Left Against Medical Advice (LAMA) cases,TOTAL,77,0,77,27,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,74,NA,74,24,50
M14 [Patient Services],14.4.1,Inpatient - Malaria,TOTAL,12,3,9,7,5,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,9,NA,9,7,2
M14 [Patient Services],14.4.2,Inpatient - Dengue,TOTAL,278,86,192,78,200,86,86,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,13,13,NA,179,NA,179,65,114
M14 [Patient Services],14.4.3,Inpatient - Typhoid,TOTAL,90,NA,90,51,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,87,NA,87,48,39
M14 [Patient Services],14.4.4,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,252,NA,252,64,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,250,NA,250,62,188
M14 [Patient Services],14.4.5,Inpatient - Tuberculosis,TOTAL,30,NA,30,11,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,5,NA,25,NA,25,6,19
M14 [Patient Services],14.4.6,Inpatient - Pyrexia of unknown origin (PUO),TOTAL,81,NA,81,52,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,81,NA,81,52,29
M14 [Patient Services],14.4.7,Inpatient - Diarrhea with dehydration,TOTAL,128,NA,128,77,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,128,NA,128,77,51
M14 [Patient Services],14.4.8,Inpatient - Hepatitis,TOTAL,21,NA,21,6,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,21,NA,21,6,15
M14 [Patient Services],14.5,Patients registered at Emergency Department,TOTAL,18075,12182,5893,1102,16973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12182,12182,NA,NA,12182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,111,111,NA,5782,NA,5782,991,4791
M14 [Patient Services],14.6.1,"Emergency - Trauma ( accident, injury, poisoning etc)",TOTAL,638,501,137,45,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,501,NA,NA,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,137,NA,137,45,92
M14 [Patient Services],14.6.2,Emergency - Burn,TOTAL,36,29,7,7,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,7,NA,7,7,0
M14 [Patient Services],14.6.3,Emergency - Obstetrics complications,TOTAL,5,NA,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,5,NA,5,4,1
M14 [Patient Services],14.6.4,Emergency - Snake Bite,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M14 [Patient Services],14.6.5,Emergency - Acute Caridiac Emergencies,TOTAL,33,NA,33,14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,33,NA,33,14,19
M14 [Patient Services],14.6.7,Emergency - CVA ( Cerebovascular Disease),TOTAL,10,NA,10,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,10,NA,10,5,5
M14 [Patient Services],14.7,Number of deaths occurring at Emergency Department,TOTAL,16,10,6,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,6,NA,6,3,3
M14 [Patient Services],14.8.1,Operation major (General and spinal anaesthesia),TOTAL,5908,2411,3497,504,5404,2229,2229,NA,NA,2229,NA,NA,NA,NA,NA,182,182,NA,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,37,37,NA,3460,NA,3460,467,2993
M14 [Patient Services],14.8.2,"Out of Operation major, Gynecology- Hysterectomy surgeries",TOTAL,150,78,72,32,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,78,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,8,8,NA,64,NA,64,24,40
M14 [Patient Services],14.8.3,"Major Surgeries excluding Obstetrics, Gynaecology and Opthalmology etc.",TOTAL,1827,84,1743,NA,1827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,84,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1743,NA,1743,NA,1743
M14 [Patient Services],14.8.4,Operation minor (No or local anaesthesia),TOTAL,9452,8749,703,517,8935,8543,8543,NA,NA,8543,NA,NA,NA,NA,NA,206,206,NA,NA,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,22,22,NA,681,NA,681,495,186
M14 [Patient Services],14.8.5,Number of post operative Surgical Site infection,TOTAL,5,5,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0
M14 [Patient Services],14.8.6,Number of blood units issued,TOTAL,3827,52,3775,173,3654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,52,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,3775,NA,3775,173,3602
M14 [Patient Services],14.8.7,Number of blood transfusions done,TOTAL,648,52,596,152,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,52,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,596,NA,596,152,444
M14 [Patient Services],14.9.1,Inpatient Deaths - Male,TOTAL,328,235,93,6,322,235,235,NA,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,93,NA,93,6,87
M14 [Patient Services],14.9.2,Inpatient Deaths - Female,TOTAL,171,118,53,4,167,118,118,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,53,NA,53,4,49
M14 [Patient Services],14.1,In-Patient Head Count at midnight,TOTAL,66242,44209,22033,1560,64682,41106,41106,NA,NA,41106,NA,NA,NA,NA,NA,3103,3103,NA,NA,3103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22033,NA,22033,1560,20473
M14 [Patient Services],14.11,Number of Admission in NBSU ( New Born Stabilisation Unit),TOTAL,14,NA,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,14,14,NA
M14 [Patient Services],14.12.1,Special Newborn Care Unit (SNCU Admissions) - Inborn Male,TOTAL,71,68,3,3,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,68,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA
M14 [Patient Services],14.12.2,Special Newborn Care Unit (SNCU Admissions) - Inborn Female,TOTAL,51,49,2,2,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,49,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA
M14 [Patient Services],14.12.3,Outborn – Male,TOTAL,12,10,2,2,10,10,10,NA,NA,10,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA
M14 [Patient Services],14.12.4,Outborn - Female,TOTAL,10,9,1,1,9,9,9,NA,NA,9,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA
M14 [Patient Services],14.12.5,Number of newborns admitted in SNCU - referred by ASHA,TOTAL,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M14 [Patient Services],14.13,Number of deaths occurring at SNCU,TOTAL,2,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M14 [Patient Services],14.14.1,Number of children admitted in NRC,TOTAL,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M14 [Patient Services],14.14.2,Number of children discharged with target weight gain from the NRCs,TOTAL,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M14 [Patient Services],14.15,Number of Rogi Kalyan Samiti (RKS) meetings held,TOTAL,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M14 [Patient Services],14.16,Number of Anganwadi centres/ UPHCs reported to have conducted Village Health & Nutrition Day (VHNDs)/ Urban Health & Nutrition Day (UHNDs)/ Outreach / Special Outreach,TOTAL,30,30,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.17,Stock out rate of essential Drugs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.18,Blood Units Issued on replacement (Family Donors to be considered as replacement donations),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.19,Total number of blood units issued in year,TOTAL,52,52,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,52,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.2,Patient Satisfaction Score of the facility in percentage (from Mera Aspatal),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M15 [Laboratory Testing],15.1,Number of Lab Tests done,TOTAL,370179,75424,294755,68494,301685,339,339,NA,NA,339,68,68,NA,68,NA,72874,72874,NA,5669,67205,143,143,NA,143,NA,76,76,NA,76,NA,1924,1924,NA,348,1576,1887,NA,1887,1887,NA,292868,NA,292868,60303,232565
M15 [Laboratory Testing],15.2.1,Number of Hb tests conducted,TOTAL,71773,51094,20679,7740,64033,133,133,NA,NA,133,68,68,NA,68,NA,50555,50555,NA,3360,47195,21,21,NA,21,NA,7,7,NA,7,NA,310,310,NA,0,310,735,NA,735,735,NA,19944,NA,19944,3549,16395
M15 [Laboratory Testing],15.2.2,"Out of the total number of Hb tests done, Number having Hb < 7 mg",TOTAL,388,271,117,87,301,3,3,NA,NA,3,0,0,NA,0,NA,265,265,NA,31,234,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,9,NA,9,9,NA,108,NA,108,45,63
M15 [Laboratory Testing],15.3.1.a,Male HIV - Number Tested,TOTAL,1652,725,927,405,1247,149,149,NA,NA,149,NA,NA,NA,NA,NA,576,576,NA,166,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,45,NA,45,45,NA,882,NA,882,194,688
M15 [Laboratory Testing],15.3.1.b,Male HIV - Number Positive,TOTAL,3,2,1,0,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,2,2,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,1,NA,1,0,1
